id,date,happy
1842,10/2/2019 18:20,0
1843,10/2/2019 18:20,1
1844,10/2/2019 18:20,1
1845,10/2/2019 18:20,0
1846,10/2/2019 18:20,1
1847,10/2/2019 18:21,1
1848,10/2/2019 18:21,1
1849,10/2/2019 18:21,1
1850,10/2/2019 18:21,1
1851,10/2/2019 18:21,1
1852,10/2/2019 18:21,1
1853,10/2/2019 18:21,1
1854,10/2/2019 18:21,1
1855,10/2/2019 18:21,1
1856,10/2/2019 18:21,1
1857,10/2/2019 18:21,1
1858,10/2/2019 18:21,1
1859,10/2/2019 18:21,0
1860,10/2/2019 18:21,0
1861,10/2/2019 18:21,0
1862,10/2/2019 18:21,1
1863,10/2/2019 18:21,0
1864,10/2/2019 18:21,1
1865,10/2/2019 18:21,0
1866,10/2/2019 18:21,1
1867,10/2/2019 18:21,1
1868,10/2/2019 18:21,0
1869,10/2/2019 18:21,0
1870,10/2/2019 18:21,0
1871,10/2/2019 18:21,0
1872,10/2/2019 18:21,0
1873,10/2/2019 18:21,0
